review_id,asin,customer_id,review_date,rating,votes,helpful
10,0738700797,A1GIL64QK68WKL,2002-05-23,5,8,8
5,0738700797,A13SG9ACZ9O5IM,2002-01-24,5,8,8
12,0738700797,A3IGHTES8ME05L,2003-11-25,5,5,5
11,0738700797,AEOBOF2ONQJWV,2003-02-25,5,8,5
3,0738700797,A11NCO6YTE4BTJ,2001-12-16,5,5,4
13,0738700797,A1CP26N8RHYVVO,2004-02-11,1,13,9
7,0738700797,A2P6KAWXJ16234,2002-02-06,4,16,16
9,0738700797,A3GO7UV9XX14D8,2002-03-23,4,6,6
4,0738700797,A9CQ3PLRNIR83,2002-01-07,4,5,5
8,0738700797,AMACWC3M7PQFR,2002-02-14,4,5,5
