group_name,customer_id,qtd_comentarios
Book,ATVPDKIKX0DER,1687
Book,A3UN6WX5RRO2AG,142
Book,A1IX3X8IVQ237L,20
Book,A14OJS0VWMOSWO,14
Book,AFVQZQ8PW0L,11
Book,A2F3M93RRLFQNJ,7
Book,AI3PFAMR6RCL8,7
Book,A319KYEIAZ3SON,6
Book,A3GBMAJNL0YQ1K,6
Book,A172VRBP4BZXK6,5
DVD,ATVPDKIKX0DER,20
DVD,A375OT7C8ZJCNU,6
DVD,A1HBE82LS4PJ9M,4
DVD,A3UN6WX5RRO2AG,4
DVD,A2NJO6YE954DBH,3
DVD,A2TORR6E4EUCAF,3
DVD,A2YQ2BJEVSLOMZ,3
DVD,AYPCUQS6ARWFH,2
DVD,A2WSI8HOWHFDOT,2
DVD,A1SIKR1LWVAV,2
Music,ATVPDKIKX0DER,420
Music,A3UN6WX5RRO2AG,24
Music,A2U49LUUY4IKQQ,7
Music,A9Q28YTLYREO7,6
Music,AWFDFLR1DA23A,5
Music,A34DB94Z4TSN36,5
Music,AZSN1TO0JI87B,5
Music,A281NPSIMI1C2R,4
Music,A4BPK6TYITJS,4
Music,AXFI7TAWD6H6X,4
Toy,A2U1T90IOVPBAR,1
Toy,AH16IHWEMA61J,1
Video,ATVPDKIKX0DER,713
Video,A3UN6WX5RRO2AG,51
Video,A3LICJSZ281ZIJ,15
Video,A20IOTRKF4YRM7,7
Video,A281NPSIMI1C2R,6
Video,A3N3SN2DDD4HCJ,5
Video,A1PH5WKMM0FM2S,4
Video,A3P1A63Q8L32C5,4
Video,A3JYWTDS82BDCL,4
Video,A2ICK1MF71Q8A9,4
